Disaster_Number,Incident_Type,Application_Title,DCC,Damage_Category,Project_Size,County,State_Code,Project_Amount,Federal_Share_Obligated,Total_Obligated,declaration_date,obligated_date
1909,Severe Storm(s),NABSD05 - Emergency Protective Measure -Concession/,B,Protective Measures,Small,Davidson,TN,402.07,361.86,361.86,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACWR41- Roads,C,Roads and Bridges,Small,Davidson,TN,43360.37,39024.33,39024.33,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NABFB16 - Emergency Protective Measures (Metropolitan,B,Protective Measures,Small,Davidson,TN,55751.53,50176.38,50176.38,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAECC03 - Metropolitan Nashville Public Schools - Dist,E,Public Buildings,Small,Davidson,TN,2685.2,2416.68,2416.68,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NABFF30 - Emergency Protective Measures: Police Dept,B,Protective Measures,Large,Davidson,TN,4202044.28,3781839.85,3781839.85,2010-05-04 04:00:00+00:00,2011-02-23 21:46:39+00:00
1909,Severe Storm(s),NDFJT35 - Culvert Outfall & Storm Water Drainage Ditch,F,Public Utilities,Small,Davidson,TN,5755.8,5180.22,5180.22,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NAEHR29 - Public Works - Main Warehouse & Office,E,Public Buildings,Small,Davidson,TN,958.4,862.56,862.56,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NAGHR09 - Asphalt Trail and Trail Embankment,G,Recreational or Other,Small,Davidson,TN,2449.78,2204.8,2204.8,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAEFB71 - Metropolitan Nashville Public Schools -,E,Public Buildings,Small,Davidson,TN,104.2,93.78,93.78,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NDCTM49 -Culvert and Pipe Endwall,C,Roads and Bridges,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NDFJT39 - Concrete Storm Water Drainage Channel,F,Public Utilities,Small,Davidson,TN,8550.27,7695.24,7695.24,2010-05-04 04:00:00+00:00,2011-01-23 00:01:37+00:00
1909,Severe Storm(s),NDCTM42 - Culvert with headwalls,C,Roads and Bridges,Small,Davidson,TN,37748.71,33973.84,33973.84,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NDCJT46 - Driveway Culvert and Storm Water Drainage ,C,Roads and Bridges,Small,Davidson,TN,3087.92,2779.13,2779.13,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),"NAGHR15 - Brookmeade, Seven Mile Creek & Cumberland",G,Recreational or Other,Small,Davidson,TN,2950.02,2655.02,2655.02,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NAGCC05 - McCabe Golf Course,G,Recreational or Other,Large,Davidson,TN,211844.78,190660.31,190660.31,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NABTF05 - Emrg. Sewer by-pass pumping at Richland Creek,B,Protective Measures,Large,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-01-28 04:29:13+00:00
1909,Severe Storm(s),NAGHR10 - Parks Playground (Mulch),G,Recreational or Other,Small,Davidson,TN,7527.17,6774.45,6774.45,2010-05-04 04:00:00+00:00,2011-02-26 00:48:11+00:00
1909,Severe Storm(s),NACR234 - Roads,C,Roads and Bridges,Small,Davidson,TN,34523.43,31071.09,31071.09,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACLW85 - Roads,C,Roads and Bridges,Small,Davidson,TN,1180.54,1062.49,1062.49,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACR133 - Roads,C,Roads and Bridges,Small,Davidson,TN,2215.17,1993.65,1993.65,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACM204 - Roads,C,Roads and Bridges,Small,Davidson,TN,8477.41,7629.67,7629.67,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NACB141 - Roads,C,Roads and Bridges,Small,Davidson,TN,8679.59,7811.63,7811.63,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAESC37 - Metro Nashville Pblc Schls - Main Bldg,E,Public Buildings,Small,Davidson,TN,14452.18,13006.96,13006.96,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NABFF11 - EMERGENCY PROTECTIVE MEASURES: METRO PUBLIC,B,Protective Measures,Small,Davidson,TN,57233.26,51509.93,51509.93,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NABFF10 - EMERGENCY PROTECTIVE MEASURES:  METRO PHD,B,Protective Measures,Small,Davidson,TN,27070.01,24363.01,24363.01,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACM188 - Roads,C,Roads and Bridges,Small,Davidson,TN,62109.18,55898.26,55898.26,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACM233 - Roads,C,Roads and Bridges,Small,Davidson,TN,38657.04,34791.34,34791.34,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAEFB73 - Metro Nashville Public Schools: Textbooks,E,Public Buildings,Small,Davidson,TN,45230.96,40707.87,40707.87,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NAESC45 - Metro Nashville Public Schools - Main Boiler ,E,Public Buildings,Small,Davidson,TN,4902.4,4412.16,4412.16,2010-05-04 04:00:00+00:00,2011-01-24 01:29:57+00:00
1909,Severe Storm(s),NACM154 - Roads,C,Roads and Bridges,Small,Davidson,TN,18711.71,16840.54,16840.54,2010-05-04 04:00:00+00:00,2011-01-23 00:01:37+00:00
1909,Severe Storm(s),NACM212 - Roads,C,Roads and Bridges,Small,Davidson,TN,5976.02,5378.42,5378.42,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NAESC01 - Metropolitan Nashville Public Schools - Distr,E,Public Buildings,Large,Davidson,TN,190941.08,171846.97,171846.97,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAECC29 - Metropolian Nashville Public Schools - Main C,E,Public Buildings,Small,Davidson,TN,81.15,73.04,73.04,2010-05-04 04:00:00+00:00,2011-01-25 05:27:38+00:00
1909,Severe Storm(s),NACM174 - Roads,C,Roads and Bridges,Small,Davidson,TN,5758.84,5182.96,5182.96,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NAFAB02 - Barker Road Eq. Basin,F,Public Utilities,Small,Davidson,TN,668.78,601.9,601.9,2010-05-04 04:00:00+00:00,2011-01-23 00:01:37+00:00
1909,Severe Storm(s),NAGHR21 - Concession Buildings,G,Recreational or Other,Small,Davidson,TN,0.0,0.0,0.0,2010-05-04 04:00:00+00:00,2011-01-24 20:58:13+00:00
1909,Severe Storm(s),NAESC02 - Metropolitan Nashville Public Schools - Distr,E,Public Buildings,Large,Davidson,TN,251724.85,226552.36,226552.36,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NABFF28 - High Pressure Volume Pumps,B,Protective Measures,Small,Davidson,TN,13485.74,12137.17,12137.17,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACT229 - Roads,C,Roads and Bridges,Small,Davidson,TN,8385.99,7547.39,7547.39,2010-05-04 04:00:00+00:00,2011-01-26 05:01:50+00:00
1909,Severe Storm(s),NDATM24  - Stoners Creek,A,Debris Removal,Small,Davidson,TN,2365.04,2128.54,2128.54,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABTF13  - Emergency Protective Measures for Whites Cre,B,Protective Measures,Small,Davidson,TN,6465.12,5818.61,5818.61,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NACR146  - Roads,C,Roads and Bridges,Small,Davidson,TN,1941.74,1747.57,1747.57,2010-05-04 04:00:00+00:00,2011-02-04 22:41:37+00:00
1909,Severe Storm(s),NDCTM27  - Culvert,C,Roads and Bridges,Small,Davidson,TN,19348.41,17413.57,17413.57,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NABWR19  - Roads,B,Protective Measures,Small,Davidson,TN,7576.7,6819.03,6819.03,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
1909,Severe Storm(s),NDCTM44 - Pipe Endwall and Storm Water Drainage Ditch,C,Roads and Bridges,Small,Davidson,TN,23684.86,21316.37,21316.37,2010-05-04 04:00:00+00:00,2011-02-09 03:13:06+00:00
1909,Severe Storm(s),NACM207 - Roads,C,Roads and Bridges,Small,Davidson,TN,3419.54,3077.59,3077.59,2010-05-04 04:00:00+00:00,2011-01-27 04:48:18+00:00
